Type,Authors,Title,Year,Electronic-resource-num,Abstract,Periodical,Paper_id
ALL,"Symanski, Elaine, Tee Lewis, P. Grace, Chen, Ting Yu, Chan, Wenyaw, Lai, Dejian, Ma, Xiaomei","Air toxics and early childhood acute lymphocytic leukemia in Texas, a population based case control study",2016,10.1186&#x2F;s12940-016-0154-8,"Background: Traffic exhaust, refineries and industrial facilities are major sources of air toxics identified by the U.S. Environmental Protection Agency (U.S. EPA) for their potential risk to human health. In utero and early life exposures to air toxics such as benzene and 1,3-butadiene, which are known leukemogens in adults, may play an etiologic role in childhood leukemia that comprises the majority of pediatric cancers. We conducted a population based case-control study to examine individual effects of benzene, 1,3-butadiene and polycyclic organic matter (POM) in ambient residential air on acute lymphocytic leukemia (ALL) diagnosed in children under age 5 years in Texas from 1995-2011. Methods: Texas Cancer Registry cases were linked to birth records and then were frequency matched by birth month and year to 10 population-based controls. Maternal and infant characteristics from birth certificates were abstracted to obtain information about potential confounders. Modelled estimates of benzene, 1,3-butadiene and POM exposures at the census tract level were assigned by linking geocoded maternal addresses from birth certificates to U.S. EPA National-Scale Air Toxics Assessment data for single and co-pollutant statistical analyses. Mixed-effects logistic regression models were applied to evaluate associations between air toxics and childhood leukemia. Results: In adjusted single pollutant models, odds of childhood leukemia among mothers with the highest ambient air exposures compared to those in the lowest quartile were 1.11 (95 % CI: 0.94-1.32) for POM, 1.17 (95 % CI: 0.98-1.39) for benzene and 1.29 (95 % CI: 1.08-1.52) for 1,3-butadiene. In co-pollutant models, odds ratios for childhood leukemia remained elevated for 1,3-butadiene but were close to the null value for benzene and POM. Conclusions: We observed positive associations between 1,3-butadiene and childhood leukemia in single and co-pollutant models whereas effect estimates from single pollutant models were diminished for benzene and POM in co-pollutant models. Early life exposure to 1,3-butadiene rather than benzene or POM appears to increase early childhood risk of acute lymphocytic leukemia.",Environmental Health: A Global Access Science Source,41
ALL,"Quality Ontario, Health",Minimal Residual Disease Evaluation in Childhood Acute Lymphoblastic Leukemia: A Clinical Evidence Review,2016,10.7499&#x2F;j.issn.1008-8830.2016.03.013,"BACKGROUND: Leukemia accounts for nearly a third of childhood cancers in Canada, with acute lymphoblastic leukemia (ALL) comprising nearly 80% of cases. Identification of prognostic factors that allow risk stratification and tailored treatment have improved overall survival. However, nearly a quarter of patients considered standard risk on the basis of conventional prognostic factors still relapse, and relapse is associated with increased morbidity and mortality. Relapse is thought to result from extremely low levels of leukemic cells left over once complete remission is reached, termed minimal residual disease (MRD). Poor event-free survival (EFS) as well as overall survival for those who are classified as MRD-positive have been substantiated in seminal studies demonstrating the prognostic value of MRD for EFS in the past few decades. This review sought to further elucidate the relationship between MRD and EFS by looking at relapse, the primary determinant of EFS and the biological mechanism through which MRD is thought to act. This evidence review aimed to ascertain whether MRD is an independent prognostic factor for relapse and to assess the effect of MRD-directed treatment on patient-important outcomes in childhood ALL. METHODS: Large prospective cohort studies with a priori multivariable analysis that includes potential confounders are required to draw confirmatory conclusions about the independence of a prognostic factor. Data on the prognostic value of MRD for relapse measured by molecular methods (polymerase chain reaction [PCR] of immunoglobulin or T-cell receptor rearrangements) or flow cytometry for leukemia-associated immunophenotypes or difference-from-normal approach were abstracted from included studies. Relevant data on relapse, EFS, and overall survival were abstracted from randomized controlled trials (RCTs) evaluating the effect of MRD-directed treatment. RESULTS: A total of 2,832 citations were reviewed, of which 12 studies were included in this review. All cohort studies evaluating MRD as a prognostic factor for relapse found significant independent value when added to various existing prognostic factors. Seven studies showed prognostic value of MRD measured at the end of induction therapy and two at the end of consolidation therapy in de novo ALL, one study in relapsed ALL after re-induction therapy, and three studies before hematopoietic stem cell transplant. One large RCT in",Ont Health Technol Assess Ser,42
ALL,"Zou, Dong Fang, Zeng, Hong Wu, Yu, Jie, Mai, Hui Rong, Yuan, Xiu Li, Wang, Li Hong, Liao, Jian Xiang, Wen, Fei Qiu",Brain injury after induction chemotherapy in children with acute lymphoblastic leukemia,2016,10.7499&#x2F;j.issn.1008-8830.2016.03.013,"Objective: To investigate the changes in brain injury after the induction chemotherapy in children with acute lymphoblastic leukemia (ALL) by cranial MRI. Methods: The clinical data and cranial MRI results of 62 children with ALL who were hospitalized from March 2014 to June 2015 were analyzed retrospectively. Results: Before chemotherapy, MRI showed bone marrow infiltration of the skull in 33 patients (53%); the children with WBC &lt;20x109&#x2F;L had a significantly lower incidence rate of bone marrow infiltration of the skull than those with WBC ≥20x109&#x2F;L (16 patients&#x2F;42% vs 17 patients&#x2F;71%; P&lt;0.05), and the high-risk group had a significantly higher incidence rate of bone marrow infiltration of the skull than the non-high-risk group (71% vs 44%; P&lt;0.05). Before chemotherapy, there were 4 cases (7%) of brain atrophy, and 2 cases (3%) of abnormal signals in the sensory conduction bundle. MRI reexamination in 28 patients after 3 months of chemotherapy showed 3 new cases (11%) of brain atrophy and 1 aggravated case of brain atrophy. Conclusions: The children with ALL have bone marrow infiltration of the skull, brain atrophy, and abnormal signals in the sensory conduction bundle before chemotherapy, especially bone marrow infiltration of the skull, and some changes in brain injury disappear after treatment.",Chinese Journal of Contemporary Pediatrics,43
ALL,"Brethon, Benoît, Cavé, Hélène, Fahd, Mony, Baruchel, André",Infant acute leukemia,2016,10.1016&#x2F;j.bulcan.2015.11.009,"If acute leukemia is the most frequent cancer in childhood (33%), it remains a very rare diagnosis in infants less than one year old, e.g. less than 5% of cases. At this age, the frequency of acute lymphoblastic leukemia (ALL) (almost all of B-lineage) is quite similar to the one of myeloblastic forms (AML). Infant leukemia frequently presents with high hyperleucocytosis, major tumoral burden and numerous extra-hematological features, especially in central nervous system and skin. Whatever the lineage, the leukemic cell is often very immature cytologically and immunologically. Rearrangements of the Mixed Lineage Leukemia (MLL) gene, located on band 11q23, are the hallmark of these immature leukemias and confer a particular resistance to conventional approaches, corticosteroids and chemotherapy. The immaturity of infants less than 1-year-old is associated to a decrease of the tolerable dose-intensity of some drugs (anthracyclines, alkylating agents) or asks questions about some procedures like radiotherapy or high dose conditioning regimen, responsible of inacceptable acute and late toxicities. The high level of severe infectious diseases and other high-grade side effects limits also the capacity to cure these infants. The survival of infants less than 1-year-old with AML is only 50% but similar to older children. On the other hand, survival of those with ALL is the same, then quite limited comparing the 80% survival in children over one year. Allogeneic stem cell transplantations are indicated in high-risk subgroups of infant ALL (age below 6 months, high hyperleucocytosis &gt; 300.109&#x2F;L, MLL-rearrangement, initial poor prednisone response). However, morbidity and mortality remain very important and these approaches cannot be extended to all cases. During the neonatal period, the dismal prognosis linked to the high number of primary failures or very early relapses and uncertainties about the late toxicities question physicians about ethics. It is an emergency to propose different strategies (targeted therapies) to these infants with acute leukemia as conventional trials failed to improve outcome.",Bulletin du Cancer,44
ALL,"Eigendorff, E., Hochhaus, A.",Akute Leukämien des Erwachsenen,2015,10.1007&#x2F;s00292-015-0087-y,"Background: The prognosis of adult patients with acute leukemia has continuously improved over the years due to the introduction of new diagnostic and therapeutic procedures and progress in the field of supportive therapy. Methods: This article gives an overview of the currently available options and the clinical approach to the diagnostics and therapy of acute leukemia. Results: The standardization as well as improvements in diagnostic procedures, in particular by immunocytological and genetic procedures, allow a more rapid determination of the exact diagnosis. In addition to age and performance status of patients, an established panel of cytogenetic and molecular markers allows an individual risk stratification for selecting the most appropriate therapeutic procedure for each patient. In acute myeloid leukemia (AML) younger patients with genetically determined intermediate and poor risk status benefit from allogeneic stem cell transplantation whereas patients in the low risk group are still primarily treated with conventional induction chemotherapy with anthracycline and cytarabine. The poor prognosis of elderly patients with AML has been improved by the development of stem cell transplantation procedures with reduced intensity conditioning and for patients not suitable for stem cell transplantation, the introduction of less toxic demethylating substances allows a substantial improvement in outcome and quality of life compared to cytoreductive therapy alone. The additional role of targeted therapies in AML is still under investigation. In adult patients with acute lymphoblastic leukemia (ALL), the standard systemic therapy still consists of complex cytotoxic regimens which have been modified from pediatric protocols. Biologically and genetically determined subgroups of ALL patients as well as poor responders, who can be identified by the detection of significant molecular determined residual disease (MRD) after standard therapy, benefit from allogeneic transplantation in first remission. In patients with bcr-abl positive ALL, the implementation of first and second generation tyrosine kinase inhibitors has led to rapidly rising response rates and less toxicity. Patients with relapsed ALL may benefit from new molecular options, e.g. bispecific antibodies. Additionally, improved standardization and supportive care, particularly due to the introduction of modern antimycotic agents, increase the treatment options and improve the prognosis of patients with acute leukemia. Conclusion: The improved diagnostic and therapeutic options for patients with acute leukemia require a complex management. Currently only subgroups of patients benefit from molecular targeted therapeutic strategies. Due to this increasing complexity in the management, patients with acute leukemia should be treated in academic centers and within clinical trials.",Pathologe,45
ALL,"Liu, Yan Chun, Li, Wei, Wang, Huan, Chen, Xi, Li, Jun, Chai, Tie",Role of Dynamic Monitoring Chromosome Karyotypes for Evaluation of Chemotherapy Efficacy in Patients with Acute Leukemia,2015,10.7534&#x2F;j.issn.1009-2137.2015.03.011,"METHODS: A total of 80 patients with acute leukemia were collected and according to FAB classification standards they were divided into 65 cases of acute myeloid leukemia (AML) and 15 cases of acute lymphoblastic leukemia (ALL); R banding technique was used taken to detect their chromosome and to analyze the relationship between chromosome and efficacy of chemotherapy.OBJECTIVE: To explore the role of dynamic monitoring the karyotype changes for evaluation of chemotherapy efficacy in patients with acute leukemia.RESULTS: Out of 65 cases of AML, 31 cases showed abnormal karyotypes and their aberration rate was 47.7%; among 31 cases of AML with chromosome abnormalities, the t (15; 17) was found in 9 cases and they accounted for 29%; t (8; 21) was found in 7 cases and they accounted for 22.6%; other karyotype and complex karyotypes were found in 15 cases and they accounted for 48.4%; the remission rate of t (15; 17) group was 88.9%, remission rate of t (8; 21) group was 71.4%, remission rate of other karyotype group was 66.7%. The comparison of between different groups showed that remission rate of t (15; 17) group was significantly higher than that in T (8; 21) group, other karyotype group and normal karyotype group (χ2&#x3D;9.625,14.267,7.768, P&lt;0.05); the remission rate between t (8; 21) group, other karyotype group and normal karyotype group was no significant different (χ2&#x3D;0.517, 0.111, P&gt;0.05). In 15 cases of ALL, 8 cases with normal karyotype accounted for 53.3%, 7 cases with abnormal karyotype accounted for 46.7% of ALL; as compared with AML, no significant difference was shown (χ2&#x3D;0.020, P&gt;0.05); the remission rates of patients with normal karyotype and abnormal karyotype were 87.5% and 42.9% respectively, the difference between the two groups had statistical significance (χ2&#x3D;43.834, P&lt;0.01).CONCLUSION: For patients with AML, patients with t (15; 17) chromosomal abnormality can obtain better effect from chemotherapy, the clinical remission rate of ALL patients with normal karyotype is higher; the karyotype analysis has the important reference value for evaluating efficacy of chemotherapy in patients with leukemia.",Zhongguo shi yan xue ye xue za zhi &#x2F; Zhongguo bing li sheng li xue hui &#x3D; Journal of experimental hematology &#x2F; Chinese Association of Pathophysiology,46
ALL,"Zhou, Jin, Wang, Jing, Liu, Hui, Zheng, Hui Fei, Ma, Ling, Wang, Pan Feng, Yan, Shuang, Fu, Cheng Cheng",CD20 Expression in Adult Patients with B-lineage Acute Lymphoblastic Leukemia and Its Prognostic Significance,2015,10.7534&#x2F;j.issn.1009-2137.2015.03.003,"OBJECTIVE: To explore the relationship between the expression of CD20 antigen and clinical characteristics in adult patients with B-acute lymphoblastic leukemia(B-ALL).METHODS: The CD20 expression of 126 acute lympho-blastic leukemia patients in our hospital from July 2009 to July 2012 were determined by flow cytometry. The characteristics, examination results and outcome were analyzed retrospectively. The complete remission rate (CR rate), relape rate, 2-year survival rate and 2-year event-free survival (EFS) of patients with CD20 positive and negative after the first cycle of chemstherapy were compared.RESULTS: Positive rate of CD20 antigen expression in 126 patients was 24.4% (31 cases), negative rate of CD20 antigen expression in 126 patients was 75.6% (95 cases). No significant relationship was found between CD20 antigen expression and sex, age, peripheral blood leucocytes count and chromosomal changes. The relapse rate, 2-year survival rate (OS) and 2-year event-free survival (EFS) of adult patients with B-ALL in CD20 positive and negative groups were 53.3% and 38.0%, 52.1% and 92.3%, 33.7% and 70.8% respectively.CONCLUSION: Expression of CD20 in adult patients with B-ALL did not related with clinical features, but related with poor prognosis.",Zhongguo shi yan xue ye xue za zhi &#x2F; Zhongguo bing li sheng li xue hui &#x3D; Journal of experimental hematology &#x2F; Chinese Association of Pathophysiology,47
ALL,"Buie, Larry W., Pecoraro, Joshua J., Horvat, Troy Z., Daley, Ryan J.",Blinatumomab: A First-in-Class Bispecific T-Cell Engager for Precursor B-Cell Acute Lymphoblastic Leukemia,2015,10.1177&#x2F;1060028015588555,"Objective: To review the clinical pharmacology, efficacy, and safety of blinatumomab for the treatment of pediatric and adult precursor B-cell acute lymphoblastic leukemia (B-ALL). Data Sources: A literature search of EMBASE (1947 to April 2015), Medline (1946 to April 2015), PubMed (1996 to April 2015), the U.S. National Institutes of Health Clinicaltrials.gov, the Food and Drug Administration, and relevant meeting abstracts was conducted using the terms blinatumomab, BiTE, bispecific T-cell engager, MT103, MEDI-538, and Blincyto. Study Selection&#x2F;Data Extraction: Human and animal studies describing the pharmacology, pharmacokinetics and pharmacodynamics, efficacy, and safety of blinatumomab for precursor B-ALL were identified. Data Synthesis: Blinatumomab is a first-in-class bispecific T-cell engager (BiTE) antibody derived from a B-lineage specific antitumor mouse monoclonal antibody that binds to both CD19 of B-cells and CD3 of T-cells. A pivotal phase II trial demonstrated that response rates were high in a refractory or relapsed patient population, with 43% achieving complete remission (CR). Median relapse-free survival was 5.9 months for those with CR or CR with incomplete hematological recovery. Median overall survival was 6.1 months, and 60% of patients achieved minimal residual disease (MRD) negativity. The most common adverse events included pyrexia, neurological events, headache, febrile neutropenia, peripheral edema, nausea, hypokalemia, constipation, and anemia. Conclusions: Blinatumomab is a novel BiTE therapeutic monoclonal antibody that has shown promising results in patients with relapsed or refractory ALL or those achieving a CR with persistent MRD. Phase III clinical trials should define the optimal place in therapy of blinatumomab.",Annals of Pharmacotherapy,48
ALL,"Lu, Ping, Wang, Ya Jie, Zheng, Ya Wei, Dong, Fang, Pang, Ya Kun, Cheng, Hui, Yuan, Wei Ping, Cheng, Tao, Hao, Sha",Macrophage inflammatory protein-1α promotes the growth of acute myeloid leukemia cells,2015,10.7534&#x2F;j.issn.1009-2137.2015.02.003,"UNLABELLED: BACKGROWND: Macrophage inflammatory protein-1α (MIP-l α&#x2F;CCL3) belongs to the C-C chemokine family (CCL3), which can be secreted by macrophages, other types of hematopoietic cells and bone marrow stromal cells. Higher levels of MIP-1α were found to be associated with several kinds of hematologic malignancies, including multiple myeloma (MM), chronic lymphocytic leukemia (CLL) and chronic myeloid leukemia (CML). Moreover, MIP-1α has been reported to be an adverse prognostic factor for CLL. However, the impact of MIP-1α on acute myeloid leukemia (AML) has been poorly investigated.OBJECTIVE: To investigate the influence of MIP-1α on proliferction of AML cells.METHODS: Using MLL-AF9 induced AML mouse model, the expression of MIP-1α was measured by real time quantitative RT-PCR. AML cell proliferation was examined by cell counting and colony forming assay (CFC). The influence of blocking the MIP-1α action on the growth and pathogenic ability of AML cells was explored by using the small molecule antagonist for interfering interaction of MIP-1α with its receptor CCR1.RESULTS: The MIP-1α could promote the proliferation and colony formation of AML cells, the blocking MIP-1a could inhibit the growth of AML cells and delay onset of AML.CONCLUSION: The MIP-1a promotes the occurence and progression of AML, therefore blocking the MIP-1α signal pathway may be served as a strategy to inhibit the growth of AML cells, and MIP-1α can be a potential target for treatment of AML.",Zhongguo shi yan xue ye xue za zhi &#x2F; Zhongguo bing li sheng li xue hui &#x3D; Journal of experimental hematology &#x2F; Chinese Association of Pathophysiology,49
ALL,"Ford, Clyde D., Lopansri, Bert K., Haydoura, Souha, Snow, Greg, Dascomb, Kristin K., Asch, Julie, Petersen, Finn Bo, Burke, John P.","Frequency, risk factors, and outcomes of vancomycin-resistant enterococcus colonization and infection in patients with newly diagnosed acute leukemia: Different patterns in patients with acute myelogenous and acute lymphoblastic leukemia",2015,10.1017&#x2F;ice.2014.3,"Objective. To determine the frequency, risk factors, and outcomes for vancomycin-Resistant Enterococcus (VRE) colonization and infection in patients with newly diagnosed acute leukemia. design. Retrospective clinical study with VRE molecular strain typing. setting. A regional referral center for acute leukemia. patients. Two hundred fourteen consecutive patients with newly diagnosed acute leukemia between 2006 and 2012 Methods. All patients had a culture of first stool and weekly surveillance for VRE. Clinical data were abstracted from the Intermountain Healthcare electronic data warehouse. VRE molecular typing was performed utilizing the semi-automated DiversiLab System Results. The rate of VRE colonization was directly proportional to length of stay and was higher in patients with acute lymphoblastic leukemia. Risk factors associated with colonization include administration of corticosteroids (P &#x3D; 0.004) and carbapenems (P &#x3D; 0.009). Neither a colonized prior room occupant nor an increased unit colonization pressure affected colonization risk. Colonized patients with acute myelogenous leukemia had an increased risk of VRE bloodstream infection (BSI, P &#x3D; 0.002). Other risk factors for VRE BSI include severe neutropenia (P&#x3D; 0.04) and diarrhea (P&#x3D; 0.008). Fifty-eight percent of BSI isolates were identical or related by molecular typing. Eighty-nine percent of bloodstream isolates were identical or related to stool isolates identified by surveillance cultures. VRE BSI was associated with increased costs (P&#x3D; 0.0003) and possibly mortality. Conclusions. VRE colonization has important consequences for patients with acute myelogenous leukemia undergoing induction therapy. For febrile neutropenic patients with acute myelogenous leukemia, use of empirical antibiotic regimens that avoid carbapenems and include VRE coverage may be helpful in decreasing the risks associated with VRE BSI.",Infection Control and Hospital Epidemiology,50
AML,"Cayuela, Jean Michel, Recher, Christian, Raffoux, Emmanuel, Delaunay, Jacques, Pigneux, Arnaud, Bulabois, Claude Eric, Berthon, Céline, Pautas, Cécile, Vey, Norbert, Lioure, Bruno, Thomas, Xavier, Luquet, Isabelle, Terré, Christine, Guardiola, Philippe, Béné, Marie C., Preudhomme, Claude, Ifrah, Norbert, Dombret, Hervé",Prospective evaluation of gene mutations and minimal residual disease in patients with core binding factor acute myeloid leukemia,2013,10.1182&#x2F;blood-2012-10-462879,"Not all patients with core binding factor acute myeloid leukemia (CBF-AML) display a good outcome. Modern risk factors include KIT and&#x2F;or FLT3 gene mutations and minimal residual disease (MRD) levels, but their respective values have never been prospectively assessed. A total of 198 CBF-AML patients were randomized between a reinforced and a standard induction course, followed by 3 high-dose cytarabine consolidation courses. MRD levels were monitored prospectively. Gene mutations were screened at diagnosis. Despite a more rapid MRD decrease after reinforced induction, induction arm did not influence relapse-free survival (RFS) (64% in both arms; P &#x3D; .91). Higher WBC, KIT, and&#x2F;or FLT3-ITD&#x2F;TKD gene mutations, and a less than 3-log MRD reduction after first consolidation, were associated with a higher specific hazard of relapse, but MRD remained the sole prognostic factor in multivariate analysis. At 36 months, cumulative incidence of relapse and RFS were 22% vs 54% (P &lt; .001) and 73% vs 44% (P &lt; .001) in patients who achieved 3-log MRD reduction vs the others. These results suggest that MRD, rather than gene mutations, should be used for future treatment stratifications in CBF-AML patients. This trial was registered at EudraCT as #2006-005163-26 and at www.clinicaltrials.gov as #NCT 00428558.",Blood,51
AML,"Isidori, Alessandro, Salvestrini, Valentina, Ciciarello, Marilena, Loscocco, Federica, Visani, Giuseppe, Parisi, Sarah, Lecciso, Mariangela, Ocadlikova, Darina, Rossi, Lara, Gabucci, Elisa, Clissa, Cristina, Curti, Antonio",The role of the immunosuppressive microenvironment in acute myeloid leukemia development and treatment,2014,10.1586&#x2F;17474086.2014.958464,"Functional interplay between acute myeloid leukemia (AML) cells and the bone marrow microenvironment is a distinctive characteristic of this hematological cancer. Indeed, a large body of evidence suggests that proliferation, survival and drug resistance of AML are sustained and modulated by the bone marrow immunosuppressive microenvironment, where both innate and adaptive immune responses are profoundly deregulated. Furthermore, the presence of a number of different immunosuppressive mechanisms results in massive immune deregulation, which causes the eventual escape from natural immune control. Modulating the immune system, as documented by 40 years of stem cell transplantation, may improve survival of AML patients, as the immune system is clearly able to recognize and attack leukemic cells. The understanding of the factors responsible for the escape from immune destruction in AML, which becomes more prominent with disease progression, is necessary for the development of innovative immunotherapeutic treatment modalities in AML.",Expert Review of Hematology,52
AML,"Davila, Jennifer, Slotkin, Emily, Renaud, Thomas",Relapsed and refractory pediatric acute myeloid leukemia: Current and emerging treatments,2014,10.1007&#x2F;s40272-013-0048-y,"Survival rates for children with acute myeloid leukemia (AML) exceed 60 % when modern, intensified chemotherapeutic regimens and enhanced supportive care measures are employed. Despite well-recognized improvements in outcomes, primary refractory or relapsed pediatric AML yields significant morbidity and mortality, and improved understanding of this obstinate population along with refined treatment protocols are urgently needed. Although a significant number of patients with refractory or relapsed disease will achieve remission, long-term survival rates remain poor, and efforts to identify therapies which will improve OS are under continuous investigation. The current fundamental goal of such investigation is the achievement of as complete a remission as possible without dose-limiting toxicities, and the progression to hematopoietic stem cell transplantation thereafter. In this review the scope of the problem of relapsed and refractory AML as well as current and emerging chemotherapy options will be discussed. © 2013 Springer International Publishing Switzerland.",Pediatric Drugs,53
AML,"Avivi, Irit, Brenner, Benjamin",Management of acute myeloid leukemia during pregnancy,2014,10.2217&#x2F;fon.14.64,"Diagnosis of acute leukemia during pregnancy presents significant medical challenges. Pancytopenia, caused by bone marrow substitution with leukemic cells, impairs maternal and fetal health. Chemotherapeutic agents required to be immediately used to save the mother&#39;s life are likely to adversely affect fetal development and outcome, especially if administered at an early gestational stage. Patients diagnosed with acute leukemia during the first trimester are, therefore, recommended to undergo pregnancy termination. At later gestational stages, antileukemic therapy can be administered, although in this case, fetal outcome is still associated with increased incidence of growth restriction and loss. Special attention to the issue of future reproduction, adopting a personalized fertility preservation approach, is required. This article addresses these subjects, presenting women diagnosed with acute myeloid and acute promyelocytic leukemia in pregnancy. The rarity of this event, resulting in insufficient data, emphasizes the need for collaborative efforts to optimize management of this complicated clinical condition. © 2014 Future Medicine Ltd.",Future Oncology,54
AML,"Chung, Stephen S.",Genetic mutations in acute myeloid leukemia that influence clinical decisions,2014,10.1097&#x2F;MOH.0000000000000024,"Purpose of review A plethora of studies over the past two decades have identified many genes that are recurrently mutated in acute myeloid leukemia (AML). Although great advances have been made in understanding the role of these mutated genes in AML disease pathogenesis, to date relatively few have been demonstrated to have direct clinical relevance. Recent findings Genomic techniques have allowed for the identification of many mutated genes that appear to drive disease pathogenesis and prognosis in AML. Integrated analyses examining the co-occurrence of these genes in well annotated AML patient cohorts has helped to significantly refine prognostic models, allowing for a more nuanced selection of patients for optimal postremission therapies. Furthermore, there are emerging data that gene mutations may be useful to select patients for optimal doses and&#x2F;or modalities of upfront AML therapy. Finally, mutated genes themselves hold promise as therapeutic targets, as supported by strong preclinical studies. Summary Recent advances in our knowledge of the molecular genetics of AML have significantly improved our tools for clinical decision-making and promise to identify new therapies for patients. © 2014 Wolters Kluwer Health | Lippincott Williams &amp; Wilkins.",Current Opinion in Hematology,55
AML,"Martner, Anna, Thorén, Fredrik Bergh, Aurelius, Johan, Hellstrand, Kristoffer",Immunotherapeutic strategies for relapse control in acute myeloid leukemia,2013,10.1016&#x2F;j.blre.2013.06.006,"Despite that the initial phases of chemotherapy induce disappearance of leukemic cells in many patients with acute myeloid leukemia (AML), the prevention of life-threatening relapses in the post-remission phase remains a significant clinical challenge. Allogeneic bone marrow transplantation, which is available for a minority of patients, efficiently prevents recurrences of leukemia by inducing immune-mediated elimination of leukemic cells, and over the past decades, numerous immunotherapeutic protocols have been developed aiming to mimic the graft-versus-leukemia reaction for the prevention of relapse. Here we review past and present strategies for relapse control with focus on overcoming leukemia-related immunosuppression in AML. We envisage future treatment protocols, in which systemic immune activators, such as vaccines, dendritic cell-based therapies, engineered variants of IL-2, or IL-15, are combined with agents that counter immunosuppression mediated by, e.g., the PD&#x2F;PDL interaction, CTLA-4, CD200, reactive oxygen species, IDO expression, CXCR4, or the KIR&#x2F;class I interaction, based on characteristics of the prevailing malignant clone. This combinatorial approach may pave the way for individualized immunotherapy in AML. © 2013 Elsevier Ltd.",Blood Reviews,56
AML,"Timothy Caldwell, J., Ge, Yubin, Taub, Jeffrey W.",Prognosis and management of acute myeloid leukemia in patients with Down syndrome,2014,10.1586&#x2F;17474086.2014.959923,"Children with Down syndrome (DS) are at a substantially increased risk to develop acute myeloid leukemia (AML). This increase in incidence is tempered, however, by favorable overall survival rates of approximately 80%, whereas survival for non-DS children with similar leukemic subtypes is &lt;35%. In this review, the clinical studies that have contributed to this overall high survival will be presented and their individual successes will be discussed. Important issues including intensity of treatment regimens, the role of bone marrow transplants and prognostic indicators will be reviewed. In particular, the roles of high-vs low-vs very low-dose cytarabine will be discussed, as well as potential therapeutic options in the future and the direction of the field over the next 5 years. In summary, children with DS and AML should be treated with a moderate-intensity cytarabine-based regimen with curative intent.",Expert Review of Hematology,57
AML,"Solh, Melhem, Yohe, Sophia, Weisdorf, Daniel, Ustun, Celalettin","Core-binding factor acute myeloid leukemia: Heterogeneity, monitoring, and therapy",2014,10.1002&#x2F;ajh.23821,"Core binding factor acute myelogenous leukemia (CBF AML) constitutes 15% of adult AML and carries an overall good prognosis. CBF AML encodes two recurrent cytogentic abnormalities referred to as t(8;21) and inv (16). The two CBF AML entities are usually grouped together but there is a considerable clinical, pathologic and molecular heterogeneity within this group of diseases. Recent and ongoing studies are addressing the molecular heterogeneity, minimal residual disease and targeted therapies to improve the outcome of CBF AML. In this article, we present a comprehensive review about CBF AML with emphasis on molecular heterogeneity and new therapeutic options.",American Journal of Hematology,58
AML,"Al-Hussaini, Muneera, Dipersio, John F.",Small molecule inhibitors in acute myeloid leukemia: From the bench to the clinic,2014,10.1586&#x2F;17474086.2014.932687,"Many patients with acute myeloid leukemia will eventually develop refractory or relapsed disease. In the absence of standard therapy for this population, there is currently an urgent unmet need for novel therapeutic agents. Targeted therapy with small molecule inhibitors represents a new therapeutic intervention that has been successful for the treatment of multiple tumors (e.g., gastrointestinal stromal tumors, chronic myelogenous leukemia). Hence, there has been great interest in generating selective small molecule inhibitors targeting critical pathways of proliferation and survival in acute myeloid leukemia. This review highlights a selective group of intriguing therapeutic agents and their presumed targets in both preclinical models and in early human clinical trials. © 2014 Informa UK, Ltd.",Expert Review of Hematology,59
AML,"Heaney, Mark L., Soriano, Gabriela","Acute myeloid leukemia following a myeloproliferative neoplasm: Clinical characteristics, genetic features and effects of therapy",2013,10.1007&#x2F;s11899-013-0154-5,"Acute myeloid leukemia (AML) is an uncommon, but often deadly complication of myeloproliferative neoplasms (MPN). Post-MPN AML usually occurs years after the initial MPN diagnosis with an average age of onset between 64 and 68 years. Chromosome abnormalities are common and many patients have cytogenetic changes that are associated with poor risk features. Post-MPN AML is characterized by acquired somatic gene mutations, but, interestingly, mutations thought to have an etiologic role in the MPN, such as JAK2V617F, are sometimes absent in the AML clone. Conventional AML-style treatment appears to have limited efficacy, although when coupled to allogeneic stem cell transplantation, some patients have long-term survival. Less-intensive therapies such as hypomethylating agents and the JAK inhibitor, ruxolitinib, may be effective in some patients. New treatments have prompted efforts to characterize therapeutic responses better. © 2013 Springer Science+Business Media New York.",Current Hematologic Malignancy Reports,60
AML,"Smith, Clay, Gasparetto, Maura, Humphries, Keith, Pollyea, Daniel A., Vasiliou, Vasilis, Jordan, Craig T.",Aldehyde dehydrogenases in acute myeloid leukemia,2014,10.1111&#x2F;nyas.12414,"Acute myeloid leukemia (AML) affects approximately 15,000 persons per year in the United States and is the sixth leading cause of cancer-related deaths. The treatment of AML has advanced little in the past thirty years, in part because of the biologic heterogeneity of the disease and the difficulty in targeting AML cells while sparing normal hematopoietic cells. Advances in preventing and treating AML are likely to occur once the cellular and molecular differences between leukemia and normal hematopoietic cells are better understood. Aldehyde dehydrogenase (ALDH) activity is highly expressed in hematopoietic stem cells (HSCs), while, in contrast, a subset of AMLs are lacking this activity. This difference may be relevant to the development of AML and may also provide a better avenue for treating this disease. In this review, we summarize what is known about the ALDHs in normal HSCs and AML and propose strategies for capitalizing on these differences in the treatment of acute leukemia, and possibly other cancers as well. © 2014 New York Academy of Sciences.",Annals of the New York Academy of Sciences,61
